age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3
15,1,1,1,2,2,3,3,4,2,4,5,2,5
16,3,1,1,1,0,5,3,2,2,2,5,2,14
16,3,3,1,2,0,4,3,3,2,4,5,54,11
15,4,3,1,2,0,4,3,3,2,3,5,6,10
15,4,0,2,4,0,3,4,3,1,1,1,8,10
16,2,2,1,4,0,5,2,3,1,3,3,0,11
17,2,1,2,1,3,4,5,1,1,1,3,2,10
16,3,4,1,2,0,2,4,3,1,2,3,12,5
15,2,3,1,1,0,3,2,2,1,3,3,2,12
15,2,3,1,3,0,5,3,2,1,2,5,4,11
15,3,2,1,2,0,4,4,4,1,1,5,10,6
15,2,2,2,2,0,5,3,3,1,3,4,4,15
15,1,1,1,2,0,4,3,2,2,3,4,2,10
15,4,4,2,2,2,4,4,4,2,3,5,6,8
16,2,2,1,2,0,4,3,4,1,2,2,4,6
15,4,2,1,3,0,5,3,3,1,3,1,4,14
16,2,2,2,2,1,4,4,2,1,1,3,12,10
16,4,4,1,2,0,4,1,3,3,5,5,18,7
16,3,3,1,3,0,4,3,3,1,3,4,0,8
15,4,3,1,1,0,4,5,5,1,3,1,4,18
16,3,1,1,2,0,3,3,3,2,3,2,4,6
16,4,2,2,2,0,5,3,3,1,1,1,0,10
15,2,2,1,4,0,4,3,4,1,1,4,6,14
15,1,1,2,4,1,3,1,2,1,1,1,2,10
16,4,3,2,1,0,3,3,3,1,1,4,2,15
16,2,1,1,2,0,4,3,5,1,1,5,2,10
16,4,4,1,1,0,5,3,4,1,2,1,6,14
16,4,3,1,3,0,5,3,5,1,1,3,0,8
16,4,4,1,1,0,4,5,5,5,5,4,14,5
16,4,4,1,3,0,4,4,3,1,1,4,0,17
15,4,4,1,1,0,5,3,3,1,1,5,4,14
15,3,2,2,2,0,4,3,5,1,1,2,26,6
15,3,4,1,2,0,5,4,4,1,1,1,0,18
15,3,3,1,4,0,4,3,3,1,1,4,10,11
15,2,2,1,4,0,5,1,2,1,1,3,8,8
16,3,3,1,3,0,5,3,3,1,1,5,2,18
15,4,4,4,4,0,1,3,5,3,5,1,6,13
16,4,4,1,3,0,5,4,5,1,1,4,4,16
15,4,4,1,1,0,5,5,3,1,1,4,6,19
16,3,3,1,3,1,4,1,2,1,1,2,0,10
16,2,2,1,2,1,3,1,2,1,1,5,6,13
15,4,2,1,1,0,3,5,2,1,1,3,10,19
15,2,1,1,2,0,5,4,2,1,1,5,8,9
16,4,4,1,2,0,5,4,4,1,2,5,2,16
15,4,4,2,2,0,4,4,3,1,1,2,2,14
16,3,3,2,1,0,5,4,2,1,1,5,0,13
17,1,3,3,2,1,5,2,4,1,4,5,20,8
15,3,4,1,1,0,3,4,3,1,2,4,6,13
15,1,2,1,2,0,3,2,3,1,2,1,2,15
15,2,2,1,4,0,5,5,4,1,2,5,6,15
16,2,4,2,2,0,4,2,2,1,2,5,2,13
16,4,4,1,1,0,3,4,4,1,4,5,18,13
16,2,2,1,2,0,5,4,4,1,1,5,0,8
15,3,4,1,1,0,5,5,5,3,2,5,0,12
15,3,4,1,2,0,5,3,2,1,1,1,0,11
19,0,1,1,2,3,3,4,2,1,1,5,2,9
18,2,2,1,1,2,3,3,3,1,2,4,0,0
16,4,4,1,1,0,3,5,5,2,5,4,8,18
15,3,4,2,3,2,4,2,2,2,2,5,0,0
15,1,1,3,1,0,4,3,3,1,2,4,0,0
17,2,2,1,1,0,3,4,4,1,3,5,12,12
16,3,4,1,1,0,3,2,1,1,4,5,16,11
15,3,4,4,2,0,5,3,3,1,1,5,0,0
15,4,4,1,3,0,4,3,3,1,1,5,0,0
17,3,4,3,2,0,5,4,5,2,4,5,0,0
16,3,3,2,1,2,4,3,2,1,1,5,0,0
16,1,1,1,2,1,4,4,4,1,3,5,0,12
15,4,4,2,1,0,4,3,2,1,1,5,0,15
15,4,3,2,4,0,2,2,2,1,1,3,0,0
16,2,2,2,1,2,2,3,3,2,2,2,8,9
15,4,4,1,3,0,4,2,2,1,1,5,2,11
16,1,1,1,1,0,3,4,4,3,3,1,2,13
17,2,1,1,1,3,5,4,5,1,2,5,0,0
15,1,1,1,2,0,4,4,2,1,2,5,0,11
15,3,2,1,2,3,3,3,2,1,1,3,0,0
15,1,2,1,2,0,4,3,2,1,1,5,2,11
16,4,4,1,1,0,3,3,2,2,1,5,0,0
15,2,1,4,1,3,4,5,5,2,5,5,0,10
18,1,1,1,1,3,2,3,5,2,5,4,0,0
16,2,1,1,1,1,4,4,4,3,5,5,6,14
15,3,3,2,3,2,4,2,1,2,3,3,8,10
19,3,2,1,1,3,4,5,4,1,1,4,0,0
17,4,4,1,1,0,4,2,1,1,1,4,0,12
15,2,3,1,2,0,4,4,4,1,1,1,2,8
17,1,2,1,1,0,2,2,2,3,3,5,8,13
18,1,1,3,1,3,5,2,5,1,5,4,6,10
16,2,2,3,1,0,4,2,2,1,2,3,2,15
16,3,3,1,2,1,4,5,5,4,4,5,4,12
17,2,1,2,1,2,3,3,2,2,2,5,0,0
15,3,2,2,2,2,4,4,4,1,4,3,6,7
16,1,2,2,1,1,4,4,4,2,4,5,0,0
17,1,3,1,1,0,5,3,3,1,4,2,2,10
17,1,1,4,2,3,5,3,5,1,5,5,0,7
16,3,2,2,1,1,4,5,2,1,1,2,16,12
16,2,2,1,2,0,4,3,5,2,4,4,4,10
16,4,2,1,2,0,4,2,3,1,1,3,0,16
16,2,2,1,2,0,5,1,5,1,1,4,0,0
16,4,4,1,2,0,4,4,2,1,1,3,0,14
16,3,4,3,1,2,3,4,5,2,4,2,0,0
16,1,0,2,2,0,4,3,2,1,1,3,2,16
17,4,4,1,2,0,4,4,4,1,3,5,0,10
16,1,3,1,2,3,4,3,5,1,1,3,0,0
16,3,3,2,2,0,4,4,5,1,1,4,4,9
17,4,3,2,2,0,4,4,4,4,4,4,4,9
16,2,2,2,2,0,3,4,4,1,4,5,2,11
17,3,3,1,2,0,4,3,4,1,4,4,4,6
16,4,2,1,1,0,4,3,3,3,4,3,10,9
17,4,3,1,2,0,5,2,3,1,1,2,4,11
16,4,3,1,2,0,3,4,3,2,3,3,10,8
16,3,3,1,2,0,4,2,3,1,2,3,2,12
17,2,4,1,2,0,5,4,2,2,3,5,0,17
17,3,3,1,2,0,5,3,3,2,3,1,56,8
16,3,2,1,2,0,1,2,2,1,2,1,14,12
17,3,3,1,2,0,4,3,4,2,3,4,12,11
16,1,2,1,1,0,3,3,3,1,2,3,2,11
16,2,1,1,2,0,4,2,3,1,2,5,0,15
17,3,3,1,2,0,3,3,3,1,3,3,6,9
17,1,2,1,2,0,3,1,3,1,5,3,4,10
16,2,3,1,2,0,4,3,3,1,1,2,10,13
17,1,1,1,2,0,5,3,3,1,1,3,0,9
17,1,2,2,2,0,4,4,4,4,5,5,12,8
16,3,3,1,1,0,4,3,2,3,4,5,8,10
16,2,3,2,1,0,5,3,3,1,1,3,0,14
17,2,4,1,2,0,4,3,2,1,1,5,0,15
17,4,4,1,1,0,5,2,3,1,2,5,4,16
16,3,3,3,1,0,3,3,4,3,5,3,8,10
17,4,4,2,1,1,4,2,4,2,3,2,24,18
16,4,4,1,2,0,4,5,2,1,2,3,0,10
16,4,3,1,2,0,4,3,5,1,5,2,2,16
16,2,3,1,2,0,4,4,3,1,3,4,6,10
17,1,1,1,2,0,4,4,4,1,3,1,4,10
17,2,2,1,1,0,5,3,2,1,2,3,18,6
16,2,2,2,4,0,5,3,5,1,1,5,6,11
17,3,4,1,3,1,4,4,3,3,4,5,28,9
16,3,1,1,2,3,2,3,3,2,2,4,5,7
16,4,3,1,2,0,1,3,2,1,1,1,10,13
16,1,1,2,1,0,4,3,2,1,4,5,6,10
17,4,3,2,3,0,4,4,2,1,1,4,6,7
19,3,3,1,4,0,4,3,3,1,2,3,10,8
17,4,4,1,2,0,5,3,5,4,5,3,13,13
16,2,2,1,2,0,3,3,4,1,1,4,0,14
18,2,2,1,2,1,4,4,4,2,4,5,15,8
17,4,4,1,1,0,5,2,1,1,2,3,12,10
17,3,2,2,2,0,4,4,4,1,3,1,2,15
17,4,3,1,2,2,3,4,5,2,4,1,22,4
18,3,3,1,2,1,3,2,4,2,4,4,13,8
17,2,3,2,1,0,3,3,3,1,4,3,3,8
17,2,2,1,3,0,4,3,3,1,1,4,4,10
17,2,1,2,2,0,4,2,5,1,2,5,2,6
17,1,1,1,3,1,4,3,4,1,1,5,0,0
16,2,3,1,2,0,2,3,1,1,1,3,2,17
18,2,2,2,2,0,3,3,3,5,5,4,0,13
16,4,4,1,3,0,5,3,2,1,1,5,0,14
18,3,1,1,2,1,5,3,3,1,1,4,16,7
17,3,2,1,2,0,5,3,4,1,3,3,10,15
17,2,3,1,2,0,5,3,3,1,3,3,2,12
18,2,1,4,2,0,4,3,2,4,5,3,14,9
17,2,1,2,3,0,3,2,3,1,2,3,10,12
17,4,3,1,2,0,3,2,3,1,2,3,14,14
17,2,2,2,2,0,4,5,2,1,1,1,4,11
17,4,4,1,2,0,4,5,5,1,3,2,14,9
16,4,4,1,2,0,4,2,4,2,4,1,2,13
16,1,1,2,2,0,3,4,2,1,1,5,18,6
16,3,2,2,3,0,5,3,3,1,3,2,10,10
17,2,2,1,2,0,4,4,2,5,5,4,4,13
16,2,1,1,1,0,4,5,2,1,1,5,20,12
17,2,1,3,2,0,2,1,1,1,1,3,2,11
18,2,2,1,2,1,5,5,4,3,5,2,0,0
17,4,3,2,2,0,2,5,5,1,4,5,14,12
17,4,4,2,2,0,3,3,3,2,3,4,2,12
16,4,3,1,1,0,5,4,5,1,1,3,0,0
16,4,4,1,1,0,5,3,2,1,2,5,0,12
18,2,1,2,3,0,4,4,4,1,1,3,0,0
16,2,1,3,1,0,4,3,3,1,1,4,6,18
17,2,3,2,1,0,5,2,2,1,1,2,4,13
22,3,1,1,1,3,5,4,5,5,5,1,16,8
18,3,3,1,2,1,4,3,3,1,3,5,8,5
16,0,2,1,1,0,4,3,2,2,4,5,0,15
18,3,2,2,1,1,4,4,5,2,4,5,0,8
16,3,3,3,2,0,5,3,3,1,3,2,6,10
18,2,1,1,1,1,3,2,5,2,5,5,4,8
16,2,1,2,1,0,3,3,2,1,3,3,0,8
17,2,1,1,1,0,4,4,2,2,4,5,0,12
17,1,1,2,1,1,4,4,4,1,2,5,2,8
17,4,2,1,4,0,4,2,3,1,1,4,6,13
19,4,3,1,2,0,4,3,1,1,1,1,12,11
18,2,1,1,2,0,5,2,4,1,2,4,8,14
17,2,2,1,4,0,3,4,1,1,1,2,0,0
18,4,3,1,2,0,3,1,2,1,3,2,21,18
18,4,3,1,2,0,4,3,2,1,1,3,2,8
18,3,2,1,3,0,5,3,2,1,1,3,1,12
17,3,3,1,3,0,3,2,3,1,1,4,4,9
18,2,2,1,3,0,4,3,3,1,1,3,0,0
18,3,4,2,2,0,4,2,5,3,4,1,13,17
17,3,1,1,2,0,5,4,4,3,4,5,2,10
18,4,4,2,2,0,4,3,4,2,2,4,8,11
18,4,2,1,2,0,5,4,5,1,3,5,10,10
18,2,1,2,2,0,4,3,5,1,2,3,0,0
19,3,3,1,2,2,4,3,5,3,3,5,15,9
18,2,3,1,4,0,4,5,5,1,3,2,4,14
18,1,1,2,2,0,4,4,3,1,1,3,2,11
17,1,2,1,2,0,3,5,2,2,2,1,2,14
17,2,4,2,2,0,4,3,3,1,1,1,2,10
17,2,2,2,2,0,4,4,4,2,3,5,6,12
18,3,2,2,2,0,4,1,1,1,1,5,75,9
18,4,4,2,1,0,3,2,4,1,4,3,22,9
18,4,4,1,2,1,2,4,4,1,1,4,15,8
18,4,3,2,1,0,4,2,3,1,2,1,8,10
17,4,1,2,1,0,4,5,4,2,4,5,30,8
17,3,2,1,1,1,4,4,4,3,4,3,19,10
18,1,1,2,4,0,5,2,2,1,1,3,1,12
18,1,1,2,2,0,5,4,4,1,1,4,4,10
17,2,2,1,2,0,5,4,5,1,2,5,4,11
17,1,1,1,2,0,4,3,3,1,2,4,2,11
18,2,2,1,3,0,4,3,3,1,2,2,5,19
17,1,1,1,3,0,4,3,3,1,1,3,6,12
18,2,1,1,3,0,4,2,4,1,3,2,6,14
18,4,4,1,2,0,5,4,3,1,1,2,9,15
18,4,2,1,2,0,4,3,2,1,4,5,11,11
17,4,3,1,3,0,4,2,2,1,2,3,0,15
18,2,1,1,2,1,5,4,3,1,1,5,12,13
17,3,1,2,4,0,3,1,2,1,1,3,6,18
18,3,2,2,3,0,5,4,2,1,1,4,8,14
17,3,3,1,1,0,4,4,3,1,3,5,4,11
19,4,4,2,2,0,2,3,4,2,3,2,0,0
18,4,3,2,2,0,4,4,5,1,2,2,10,8
18,4,3,1,4,0,4,3,3,1,1,3,0,14
18,4,4,1,1,0,1,4,2,2,2,1,5,16
18,4,4,1,2,0,4,2,4,1,1,4,14,11
17,4,4,2,1,0,4,1,1,2,2,5,0,10
17,4,2,2,3,0,4,3,3,1,1,3,0,14
17,3,2,1,4,0,5,2,2,1,2,5,0,18
19,3,3,1,2,1,4,4,4,1,1,3,20,13
18,2,4,1,2,1,4,4,3,1,1,3,8,12
20,3,2,1,1,0,5,5,3,1,1,5,0,18
19,4,4,2,1,1,4,3,4,1,1,4,38,8
19,3,3,1,2,1,4,5,3,1,2,5,0,12
19,1,1,1,2,1,4,4,3,1,3,3,18,10
19,1,2,1,2,1,4,2,4,2,2,3,0,0
19,2,1,3,2,0,3,4,1,1,1,2,20,13
19,1,2,1,2,1,4,5,2,2,2,4,3,11
19,3,2,2,2,1,4,2,2,1,2,1,22,11
19,1,1,1,3,2,4,1,2,1,1,3,14,13
19,2,3,1,3,1,4,1,2,1,1,3,40,11
18,2,1,2,2,0,5,3,3,1,2,1,0,0
18,4,3,1,3,0,4,3,4,1,1,5,9,9
17,3,4,1,3,0,4,3,4,2,5,5,0,10
18,4,4,1,2,0,4,4,4,3,3,5,2,11
17,4,3,1,2,0,5,2,2,1,2,5,23,13
17,2,2,1,2,0,4,2,2,1,1,3,12,9
17,2,2,1,3,0,3,3,2,2,2,3,3,11
17,3,1,1,3,0,3,4,3,2,3,5,1,15
17,0,2,2,3,0,3,3,3,2,3,2,0,15
18,4,4,1,3,0,4,3,3,2,2,3,3,11
17,3,3,1,1,0,4,3,5,3,5,5,3,16
17,2,2,4,1,0,4,4,5,5,5,4,8,10
17,4,4,1,3,0,5,4,4,1,3,4,7,9
17,4,4,2,3,0,4,3,3,1,2,4,4,14
18,2,2,1,4,0,4,5,5,2,4,5,2,8
17,2,4,1,3,0,4,4,3,1,1,5,7,14
18,3,3,1,2,0,5,3,4,1,1,4,0,0
18,2,2,1,2,0,4,3,3,1,1,2,0,0
18,2,2,2,4,0,4,4,4,1,1,4,0,0
17,3,4,1,3,0,4,4,5,1,3,5,16,15
19,3,1,1,3,1,5,4,3,1,2,5,12,13
17,3,2,1,2,0,4,3,2,2,3,2,0,0
18,3,3,1,4,0,5,3,3,1,1,1,7,17
17,3,2,1,2,0,4,3,3,2,3,2,4,10
19,2,1,1,3,1,4,3,4,1,3,3,4,11
18,4,4,1,2,1,4,3,3,2,2,2,0,0
18,3,4,1,2,0,4,3,3,1,3,5,11,15
17,2,2,1,2,1,3,3,1,1,2,4,0,0
18,2,3,1,3,0,4,3,3,1,2,3,4,10
18,3,2,1,3,0,5,4,3,2,3,1,7,14
18,4,3,1,3,0,5,3,2,1,2,4,9,16
18,4,3,1,3,0,5,4,5,2,3,5,0,9
17,4,3,1,3,0,4,4,3,1,3,4,0,15
18,3,2,2,1,1,2,5,5,5,5,5,10,13
19,1,1,3,2,3,5,4,4,3,3,2,8,8
17,3,3,2,2,0,4,5,4,2,3,3,2,13
18,1,3,1,1,1,4,3,3,2,3,3,7,8
19,1,1,3,1,1,4,4,4,3,3,5,4,8
17,4,3,2,2,0,4,5,5,1,3,2,4,11
18,3,3,1,2,0,5,3,4,1,1,5,0,9
17,4,4,2,2,0,4,3,3,1,2,5,4,13
17,3,2,2,2,0,1,2,3,1,2,5,2,11
18,1,1,2,1,0,3,3,2,1,2,3,4,10
18,1,1,2,3,0,5,3,2,1,1,4,0,16
18,1,4,3,2,0,4,3,4,1,4,5,0,13
18,1,1,2,2,1,4,4,3,2,3,5,2,12
18,3,3,2,2,0,4,3,2,1,3,3,0,10
17,4,4,1,2,0,2,3,4,1,1,1,0,15
17,1,2,2,2,0,3,2,2,1,2,3,0,12
18,1,3,2,2,0,3,3,4,2,4,3,4,10
18,4,4,2,3,0,4,2,2,2,2,5,0,13
17,1,1,3,1,1,5,2,1,1,2,1,0,0
18,2,3,2,1,0,5,2,3,1,2,4,0,10
18,4,4,3,2,0,3,2,2,4,2,5,10,11
19,3,2,2,2,2,3,2,2,1,1,3,4,9
18,1,2,3,1,0,4,3,3,2,3,3,3,12
17,2,2,1,3,0,3,4,3,1,1,3,8,11
17,1,2,1,1,0,3,5,5,1,3,1,14,5
18,4,4,2,3,0,5,4,4,1,1,1,0,19
18,1,1,4,3,0,4,3,2,1,2,4,2,10
20,4,2,2,3,2,5,4,3,1,1,3,4,15
18,4,4,1,2,0,5,4,3,3,4,2,4,10
18,3,3,1,2,0,4,1,3,1,2,1,0,15
17,3,1,1,2,0,4,5,4,2,3,1,17,10
18,4,4,1,2,0,3,2,4,1,4,2,4,14
18,2,1,2,1,0,4,4,3,1,3,5,5,7
17,2,3,2,2,0,4,4,3,1,1,3,2,10
19,1,1,2,1,1,4,3,2,1,3,5,0,0
18,4,2,2,1,1,5,4,3,4,3,3,14,5
18,2,2,2,3,0,5,3,3,1,3,4,2,10
18,4,4,3,1,0,4,4,3,2,2,5,7,6
19,2,3,1,3,1,5,4,2,1,2,5,0,0
18,3,1,1,2,0,4,3,4,1,1,1,0,8
18,1,1,2,2,1,1,1,1,1,1,5,0,0
20,2,2,1,2,2,5,5,4,4,5,4,11,9
17,3,1,2,1,0,2,4,5,3,4,2,3,16
21,1,1,1,1,3,5,5,3,3,3,3,3,7
18,3,2,3,1,0,4,4,1,3,4,5,0,10
19,1,1,1,1,0,3,2,3,3,3,5,5,9
